_id,x,y,cell,SSID,value
ObjectId(5b47244e120ecc0008b9fb90),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""14"",""14"",""14"",""14"",""14"",""14""]","[""27"",""27"",""27"",""27"",""27"",""27""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""JioFi2_7EC364"",""D-Link_DIR-524"",""dlink""]","[""-63"",""-89"",""-73"",""-95"",""-93"",""-90""]"
ObjectId(5b472461120ecc0008b9fb91),"[""2"",""2"",""2"",""2"",""2""]","[""14"",""14"",""14"",""14"",""14""]","[""28"",""28"",""28"",""28"",""28""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""dlink_pksingh""]","[""-57"",""-88"",""-75"",""-91"",""-90""]"
ObjectId(5b47247d120ecc0008b9fb92),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""15"",""15"",""15"",""15"",""15"",""15""]","[""29"",""29"",""29"",""29"",""29"",""29""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""dlink_pksingh"",""Connectify-tony""]","[""-59"",""-87"",""-75"",""-91"",""-90"",""-63""]"
ObjectId(5b472495120ecc0008b9fb93),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""15"",""15"",""15"",""15"",""15"",""15""]","[""30"",""30"",""30"",""30"",""30"",""30""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""dlink_pksingh"",""Connectify-tony""]","[""-59"",""-87"",""-75"",""-91"",""-90"",""-55""]"
ObjectId(5b4724b0120ecc0009716982),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""16"",""16"",""16"",""16"",""16"",""16""]","[""31"",""31"",""31"",""31"",""31"",""31""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""dlink_pksingh"",""Connectify-tony""]","[""-56"",""-87"",""-78"",""-90"",""-90"",""-62""]"
ObjectId(5b4724c7120ecc0008b9fb94),"[""2"",""2"",""2"",""2"",""2""]","[""16"",""16"",""16"",""16"",""16""]","[""32"",""32"",""32"",""32"",""32""]","[""ciscosb"",""Connectify-asia"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony""]","[""-57"",""-87"",""-77"",""-90"",""-61""]"
ObjectId(5b4724db120ecc0009716983),"[""1"",""1"",""1"",""1""]","[""17"",""17"",""17"",""17""]","[""33"",""33"",""33"",""33""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony""]","[""-60"",""-74"",""-90"",""-53""]"
ObjectId(5b4724ef120ecc0008b9fb95),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""17"",""17"",""17"",""17"",""17"",""17""]","[""34"",""34"",""34"",""34"",""34"",""34""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""D-Link_DIR-524""]","[""-63"",""-75"",""-89"",""-48"",""-88"",""-90""]"
ObjectId(5b472522120ecc0009716984),"[""1"",""1"",""1"",""1"",""1"",""1""]","[""18"",""18"",""18"",""18"",""18"",""18""]","[""35"",""35"",""35"",""35"",""35"",""35""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""D-Link_DIR-524""]","[""-64"",""-73"",""-89"",""-46"",""-88"",""-86""]"
ObjectId(5b472543120ecc0009716985),"[""2"",""2"",""2"",""2"",""2"",""2""]","[""18"",""18"",""18"",""18"",""18"",""18""]","[""36"",""36"",""36"",""36"",""36"",""36""]","[""ciscosb"",""VLSIDESIGN_LAB"",""dlink"",""Connectify-tony"",""dlink_pksingh"",""D-Link_DIR-524""]","[""-73"",""-77"",""-89"",""-54"",""-88"",""-86""]"
